name,measure,details
HTML, Abandon Type (selective rescue), Abandon instances: 'Well-formed element' 'Numeric character reference' 'Nokogiri (software)' 'TeX4ht' 'Validator' 'Polyglot markup' 'Use of Ogg formats in HTML5' 'HTML5 in mobile devices' 'Document Object Model' 'HTML Application' 'Image map' 'Span and div' 'Unicode and HTML' 'Quirks mode' 'HTML Working Group' 'Comparison of layout engines (HTML)' 'HTML5 Shiv' 'Marquee element' 'Comparison of layout engines (XHTML)' 'Template:HTML' 'Blockquote element' 'Hreflang' 'Transclusion' 'Tag soup' 'Web Messaging' 'Yeoman (computing)' 'Table cell' 'HTML color names' 'Canvas element' 'Comparison of layout engines (HTML5)' 'Ruby character' 'Comparison of layout engines (XHTML 1.1)' 'DVB-HTML' 'Layer element' 'Comparison of HTML parsers' 'File select' 'Alt attribute' 'Dynamic HTML' 'Google Polymer' 'Longdesc attribute' 'Canonical link element' 'HTML attribute' 'Link relation' 'Font family (HTML)' 'HTML scripting' 'Scott Isaacs' 'Cellpadding' 'Character encodings in HTML' 'Modernizr' 'Microcontent' 'Form (HTML)' 'Comparison of layout engines (non-standard HTML)' 'Upload components' 'Framing (World Wide Web)' 'Meta refresh' 'CE-HTML' 'HTML sanitization' 'HTML element' 'Meta element' 'Blink element' 'HTML email';Abandon subtypes:'HTML editors''HTML tags'
HTML5, Abandon Type (selective rescue), Abandon instances: 'Ionic (mobile app framework)' 'Sencha Touch' 'Wakanda (software)' 'WiseMapping' 'Google Swiffy' 'Schema.org' 'Article element (HTML5)' 'Maqetta' 'DaVinci (software)' 'Cache manifest in HTML5' 'Adobe Wallaby' 'Appnovation' 'Encrypted Media Extensions' 'HTML5test' 'LungoJS' 'OSW3' 'Comparison of HTML5 and Flash' 'Comparison of layout engines (HTML5 canvas)' 'Comparison of layout engines (HTML5 media)' 'Media Source Extensions' 'American Graphics Institute' 'HTML5 video' 'HTML5 File API' 'WebVR' 'Gliffy' 'Video alternative to GIF' 'Monaca (mobile application development tool)' 'Construct (game engine)' 'HTML5 Audio';Abandon subtypes:
Haiku (operating system), Abandon Type (rescue none),
ICL programming languages, no issue,
JSON, Abandon Type (selective rescue), Abandon instances: 'JSONP' 'Gson' 'JSON Streaming' 'JSON-RPC' 'JSON-LD' 'AJAJ' 'Jayrock' 'JSON Web Token';Abandon subtypes:'Software that uses JSON-RPC'
Java (programming language), Abandon Type (selective rescue), Abandon instances: 'Parboiled (Java)' 'CookXml' 'XStream' 'Xerlin' 'Apache Marmotta' 'ProgramByDesign' 'AgentSheets' 'Inversion of control' '.properties' 'Java virtual machine' 'StormMQ' 'Comparison of the Java and .NET platforms' 'Project Valhalla (Java language)' 'Java Class Library' 'Java Interface Definition Language' 'Restlet' 'Chainsaw (log file viewer)' 'Final (Java)' 'Prevayler' 'Apache Stanbol' 'Thinking in Java' 'Facelets' 'Portal:Java/Selected article/5' 'FormEngine' 'JnSynch' 'Associació d'Usuaris de Java de Catalunya' 'Java Classloader' 'Celtix' 'Java compiler' 'Synth Look and Feel' 'CJAN' 'Plain Old Java Object' 'Todd Greanier' 'James Gosling' 'Event dispatching thread' 'Devoxx' 'Java collections framework' 'Java concurrency' 'Primitive wrapper class' 'Static import' 'Java 4K Game Programming Contest' 'Internet Foundation Classes' 'Comparison of Java and Android API' 'Bean Scripting Framework' 'JavaTest harness' 'Real time Java' 'JGroups' 'Michael Kölling' 'Marker interface pattern' 'Comparison of C Sharp and Java' 'Graal (compiler)' 'ActiveJDBC' 'KonaKart' 'Jim Hugunin' 'Pluggable look and feel' 'Doclet' 'Generics in Java' 'Java resource bundle' 'Apache Muse' 'Java Work Framework' 'Java applet' 'Java TV' 'ActiveJPA' 'Java view technologies and frameworks' 'JavaFX' 'Automated exception handling' 'Apache Harmony' 'Interface (Java)' 'Patrick Naughton' 'OpenJDK' 'Jikes' 'Non-blocking I/O (Java)' 'Object type (object-oriented programming)' 'GlassFish Metro' 'JPicus' 'Java Access Bridge' 'Jem The Bee' 'PHP/Java Bridge' 'Java Development Kit' 'Bruno Souza (programmer)' 'REPLAY (software)' 'Quark Framework' 'Wildcard (Java)' 'Retrotranslator' 'Java syntax' 'Head First (book series)' 'Java package' 'Clone (Java method)' 'Resource (Java)' 'SwingLabs' 'Sun Web Developer Pack' 'Javac' 'SLF4J' 'QDB' 'Criticism of Java' 'Java Task Force' 'SLAMD Server' 'Swing (Java)' 'Java hashCode()' 'Cougaar' 'JavaBeans Activation Framework' 'SouJava' 'Strictfp' 'Constant interface' 'Portal:Java/Selected article';Abandon subtypes:'Java (programming language) libraries''Java specification requests''Java APIs''Software programmed in Java (programming language)'
JavaScript,  Abandon Type (selective rescue), Abandon instances: 'XMLHttpRequest' 'Ajax (programming)' 'DWR (Java)' 'Lively Kernel' 'Froala Editor' 'Unobtrusive JavaScript' 'Protogrid' 'JavaScript syntax' 'Plotly' 'Yamanner' 'Template:JavaScriptSidebar' 'Minification (programming)' 'Template:JavaScript' 'Immediately-invoked function expression' 'Samy (computer worm)' 'Comparison of server-side JavaScript solutions' 'Douglas Crockford' 'Mozilla Raindrop' 'Asynchronous module definition' 'Highcharts' 'John Resig' 'JavaScript engine' 'Variable hoisting' 'Brendan Eich' 'Comparison of JavaScript charting frameworks' 'JS/UIX' 'Bookmarklet' 'Asm.js' 'CommonJS' 'OpenWebGlobe' 'GNU LibreJS' 'COLT (software)';Abandon subtypes:'JavaScript libraries''JavaScript-based HTML editors''Free software programmed in JavaScript''JavaScript programming tools''JavaScript engines''JavaScript-based calendar components';Remove instances:'JSON' 'Javascript Simple Syndication' 'JavaScript Style Sheets';
JavaServer Faces,Abandon Type (rescue none),
KDE Education Project, Abandon Type (rescue none),
Keyhole Markup Language, Abandon Type (selective rescue), Abandon instances: 'WikiMapia' 'Family tree mapping' 'Bing Maps' 'Google Maps' 'Location API for Java ME' 'Yahoo! Pipes' 'Leaflet (software)' 'Marble (software)' 'NASA World Wind' 'Bing Maps Platform' 'BlooSee' 'OpenLayers' 'Google Earth' 'Map My Ancestors';Abandon subtypes:;Remove instances:;
